RANDOM_SECTION,Avg_P1,Avg_P2,Avg_P3,Avg_Sum_P,Avg_Election_Time,Term_Distribution_ACMLT
0,5.215379731505262,5.555720973668605,5.222116752640479,15.993217457814334,2268.009546839531,"[0, 0, 0, 1942, 47, 5, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,5.57444435174705,5.258284196518795,5.3476091066365115,16.180337654902356,2264.487504254887,"[0, 0, 0, 1945, 42, 8, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,5.416869110101537,5.385305896075199,5.163544730141663,15.965719736318395,2268.747847558915,"[0, 0, 0, 1931, 53, 12, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,5.525326040394046,5.411083821260646,5.2272437682815225,16.16365362993621,2242.48282390241,"[0, 0, 0, 1944, 54, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,5.3758207788541155,5.388765258274599,5.151585128874456,15.916171166003192,2241.00555923463,"[0, 0, 0, 1936, 57, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,5.485659572207846,5.704337514999416,5.291841822200458,16.481838909407735,2235.783661839434,"[0, 0, 0, 1945, 48, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,5.450596791388274,5.698850928494063,5.247576801023254,16.397024520905585,2243.0631520484826,"[0, 0, 0, 1918, 78, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,5.519174725139674,5.6314246302500575,5.2518944518710216,16.402493807260754,2225.667026300934,"[0, 0, 0, 1938, 56, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,5.526062418380531,5.554902732684464,5.35315390003132,16.434119051096328,2215.845585435884,"[0, 0, 0, 1939, 59, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,5.702028626843198,5.57875041970078,5.352657116483152,16.633436163027127,2209.162760844011,"[0, 0, 0, 1944, 52, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,5.694995039007301,5.690334189070345,5.439037953732774,16.824367181810437,2203.534216797389,"[0, 0, 0, 1945, 52, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,5.731468344740615,5.6520978811795315,5.590904375096857,16.974470601016982,2198.402359520363,"[0, 0, 0, 1948, 44, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,5.579629192416222,5.566610270496114,5.450781310339367,16.597020773251685,2187.920413044846,"[0, 0, 0, 1948, 50, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,5.807453184381903,5.618187401919222,5.622156599925304,17.0477971862264,2184.125998203664,"[0, 0, 0, 1948, 48, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,5.824659992602107,5.794381131594488,5.662742334526566,17.28178345872314,2186.9450322040807,"[0, 0, 0, 1936, 59, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,5.975385558260947,5.71802212916292,5.57090481335943,17.264312500783333,2177.332641273128,"[0, 0, 0, 1939, 59, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,5.727167512983539,6.102694000103973,5.7819032960496575,17.61176480913718,2176.2002159414064,"[0, 0, 0, 1935, 64, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,5.878388211668574,6.161602363231421,5.8212467287196645,17.861237303619642,2174.141824529364,"[0, 0, 0, 1934, 63, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,6.059768746400072,5.968298302022722,5.962992801110011,17.991059849532824,2162.4662479706976,"[0, 0, 0, 1943, 55, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,6.153835942150371,6.279169214081911,5.875528827314423,18.308533983546674,2154.840688321284,"[0, 0, 0, 1950, 48, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,6.028198903948703,6.383714893441853,5.8313124988177805,18.243226296208373,2154.543985381325,"[0, 0, 0, 1941, 58, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,6.544446409016494,6.554982375458606,5.904264882298154,19.003693666773263,2165.2120382387225,"[0, 0, 0, 1927, 68, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,6.518372509641859,6.493385010113111,6.1429324220787365,19.154689941833723,2162.1252507451945,"[0, 0, 0, 1922, 75, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,6.638300568788984,6.744107915392295,6.308683504330536,19.691091988511765,2148.994093002959,"[0, 0, 0, 1936, 62, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,6.7132737265971105,7.148226505801481,6.100173909402335,19.961674141800927,2160.45527226505,"[0, 0, 0, 1910, 87, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,7.040360446175823,7.042552818145346,6.347287804956804,20.43020106927796,2164.559878643726,"[0, 0, 0, 1902, 93, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,7.14853335666588,7.351019334435274,6.318611906080415,20.818164597181504,2161.630362973981,"[0, 0, 0, 1902, 94, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,7.445976244166425,7.327524079754138,6.49697026300812,21.27047058692871,2156.5726838124287,"[0, 0, 0, 1905, 92, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,7.362128317687445,7.3194639871610265,6.7029589232281515,21.384551228076646,2158.3448700126496,"[0, 0, 0, 1897, 100, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,7.5609381901039585,7.771435445420231,6.814462662237794,22.14683629776193,2164.1771065921903,"[0, 0, 0, 1888, 107, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,7.922686547735295,7.7993700368343255,6.564369655847539,22.28642624041714,2172.4156970775207,"[0, 0, 0, 1872, 119, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,7.9290209295465335,8.006393421419805,6.86232718152088,22.797741532487258,2173.231901203279,"[0, 0, 0, 1861, 134, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,8.139262054129613,8.620831903319491,6.715574655028272,23.475668612477392,2174.3447689654995,"[0, 0, 0, 1859, 134, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,8.498698527007743,8.382694987581736,6.889606145708164,23.770999660297615,2172.196648927846,"[0, 0, 0, 1868, 118, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,8.382008406880935,8.924790943363849,7.03544107663635,24.34224042688121,2189.5823246594127,"[0, 0, 0, 1835, 149, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,8.708896085955088,8.893926986616181,7.141557924098709,24.744380996669943,2186.1662699202507,"[0, 0, 0, 1835, 152, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,9.00390104647936,9.404964150272898,7.111145300889522,25.52001049764179,2193.100663317441,"[0, 0, 0, 1823, 162, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,9.099186692858789,9.538697405931408,7.133330600200966,25.77121469899114,2192.8477618378506,"[0, 0, 0, 1822, 163, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,9.193053714799971,9.895712210454699,7.382500090503102,26.471266015757855,2194.836150718774,"[0, 0, 0, 1817, 164, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,8.994091345946334,9.89260572810137,7.452191735189596,26.33888880923729,2201.3010770687674,"[0, 0, 0, 1798, 190, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,9.512974710325702,10.418837375279155,7.389512241925951,27.32132432753082,2223.9468231255382,"[0, 0, 0, 1770, 204, 23, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,9.70083309602445,10.582173619486586,7.380104081983606,27.663110797494582,2216.478291036085,"[0, 0, 0, 1774, 207, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,9.57819292348519,10.755417888903782,7.49868116807164,27.83229198046055,2220.940394382367,"[0, 0, 0, 1771, 201, 26, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,9.648669064796872,10.971089866579886,7.565053291080958,28.184812222457698,2233.011379722594,"[0, 0, 0, 1748, 227, 21, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,9.706969385878079,11.244930210820476,7.616175276009348,28.5680748727079,2236.3775643933386,"[0, 0, 0, 1747, 220, 30, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,9.922259969662136,11.706178224941153,7.523137174820673,29.151575369423938,2243.6564386242862,"[0, 0, 0, 1730, 241, 23, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,10.120620199789967,11.700471775852659,7.800468154995985,29.621560130638695,2231.1052628625407,"[0, 0, 0, 1751, 220, 26, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,10.344602926907054,12.034002343019473,7.988751445036663,30.367356714963165,2242.9184261157925,"[0, 0, 0, 1730, 236, 32, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,10.500523495985012,12.529329046365573,8.024118729532058,31.053971271882602,2258.6909705763123,"[0, 0, 0, 1718, 238, 34, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,10.47742865672338,12.43516826999331,7.719637743548306,30.632234670265,2283.9437049379644,"[0, 0, 0, 1667, 287, 39, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,10.282575447435953,12.905823384923153,7.798455021305189,30.986853853664222,2245.2360424898084,"[0, 0, 0, 1723, 246, 26, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
